,Title,Type,Source,Episodes,Status,Started At,Ended At,Duration in Minutes,Rating,Score,Scored By,Score Rank,Popularity Rank,Members,Favorites,Season,Year,Genre,Theme,Demographic
811,Ookiku Furikabutte,TV,Manga,25.0,Finished Airing,2007-04-13,2007-09-28,25,PG-13 - Teens 13 or older,7.88,40883,811.0,2050,100129,1731,spring,2007.0,['Sports'],['Team Sports'],['Seinen']
812,Shijou Saikyou no Deshi Kenichi OVA,OVA,Manga,11.0,Finished Airing,2012-03-14,2014-05-16,27,R+ - Mild Nudity,7.88,28648,814.0,2866,57189,114,,,"['Action', 'Comedy']","['Martial Arts', 'School']",['Shounen']
813,Jigoku Shoujo Futakomori,TV,Original,26.0,Finished Airing,2006-10-07,2007-04-07,25,R - 17+ (violence & profanity),7.88,67878,810.0,1431,161202,707,fall,2006.0,"['Horror', 'Mystery', 'Supernatural']",['Psychological'],[]
814,Saiunkoku Monogatari,TV,Light novel,39.0,Finished Airing,2006-04-08,2007-02-24,25,PG-13 - Teens 13 or older,7.88,35291,813.0,2097,96383,1162,spring,2006.0,"['Adventure', 'Fantasy', 'Romance']","['Historical', 'Reverse Harem']",['Shoujo']
815,Higurashi no Naku Koro ni,TV,Visual novel,26.0,Finished Airing,2006-04-05,2006-09-27,24,R - 17+ (violence & profanity),7.88,393321,800.0,232,801128,21345,spring,2006.0,"['Horror', 'Mystery', 'Supernatural', 'Suspense']","['Gore', 'Psychological']",[]
816,Meitantei Conan Movie 02: 14-banme no Target,Movie,Manga,1.0,Finished Airing,1998-04-18,,99,PG-13 - Teens 13 or older,7.88,39011,808.0,2701,63729,70,,,"['Adventure', 'Comedy', 'Mystery']",['Detective'],['Shounen']
817,Tennis no Oujisama: Zenkoku Taikai-hen - Semifinal,OVA,Manga,6.0,Finished Airing,2007-06-22,2008-01-25,23,PG-13 - Teens 13 or older,7.88,20509,790.0,3624,37163,41,,,['Sports'],[],['Shounen']
818,Mignon,ONA,Original,12.0,Finished Airing,2023-08-11,,5,R+ - Mild Nudity,7.88,6495,,4857,19558,291,,,"['Boys Love', 'Drama', 'Erotica']",['Vampire'],[]
819,Death Billiards,Movie,Original,1.0,Finished Airing,2013-03-02,,25,R - 17+ (violence & profanity),7.88,136907,796.0,1000,238654,337,,,"['Drama', 'Supernatural', 'Suspense']","['Adult Cast', 'High Stakes Game', 'Psychological']",[]
820,Yi Nian Yong Heng: Chuan Cheng Pian,ONA,Novel,54.0,Finished Airing,2022-07-20,2023-07-12,19,PG-13 - Teens 13 or older,7.88,1671,815.0,7763,5984,86,,,"['Action', 'Adventure', 'Fantasy']","['Historical', 'Martial Arts']",[]
821,Kidou Senshi Gundam: Suisei no Majo,TV,Original,12.0,Finished Airing,2022-10-02,2023-01-08,24,R - 17+ (violence & profanity),7.88,74547,789.0,1514,150558,1480,fall,2022.0,"['Action', 'Sci-Fi']","['Mecha', 'School', 'Space']",[]
822,JoJo no Kimyou na Bouken (TV),TV,Manga,26.0,Finished Airing,2012-10-06,2013-04-06,24,R - 17+ (violence & profanity),7.88,1063182,803.0,58,1646126,36928,fall,2012.0,"['Action', 'Adventure', 'Supernatural']","['Historical', 'Vampire']",['Shounen']
823,"Komi-san wa, Comyushou desu.",TV,Manga,12.0,Finished Airing,2021-10-07,2021-12-23,23,PG-13 - Teens 13 or older,7.88,459837,805.0,195,871690,11979,fall,2021.0,['Comedy'],"['Romantic Subtext', 'School']",['Shounen']
