,Title,Type,Source,Episodes,Status,Started At,Ended At,Duration in Minutes,Rating,Score,Scored By,Score Rank,Popularity Rank,Members,Favorites,Season,Year,Genre,Theme,Demographic
2382,Shingeki no Kyojin: Ano Hi Kara,TV Special,Manga,1.0,Finished Airing,2013-07-07,,24,R - 17+ (violence & profanity),7.38,69066,2308.0,1605,139977,362,,,"['Action', 'Drama', 'Suspense']","['Gore', 'Survival']",['Shounen']
2383,Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie,Movie,Light novel,1.0,Finished Airing,2013-09-14,,90,PG-13 - Teens 13 or older,7.38,52172,2301.0,1958,106731,115,,,"['Comedy', 'Romance']",['School'],[]
2384,Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note,TV,Light novel,13.0,Finished Airing,2019-07-07,2019-09-29,23,R - 17+ (violence & profanity),7.38,63599,2282.0,1501,151650,428,summer,2019.0,"['Fantasy', 'Mystery', 'Supernatural']",[],[]
2385,Bishoujo Senshi Sailor Moon SuperS Specials,Special,Manga,3.0,Finished Airing,1995-04-08,,16,PG-13 - Teens 13 or older,7.38,9942,2271.0,4474,23646,18,,,['Romance'],['Mahou Shoujo'],['Shoujo']
2386,Mob Psycho 100: Reigen - Shirarezaru Kiseki no Reinouryokusha,Special,Web manga,1.0,Finished Airing,2018-03-18,,60,PG-13 - Teens 13 or older,7.38,48053,2285.0,2033,101319,144,,,"['Action', 'Comedy', 'Supernatural']",['Super Power'],[]
2387,High School! Kimengumi,TV,Manga,86.0,Finished Airing,1985-10-20,1987-10-03,25,PG-13 - Teens 13 or older,7.38,1241,2275.0,8900,4187,22,fall,1985.0,"['Comedy', 'Romance']","['Gag Humor', 'Parody', 'School']",['Shounen']
2388,Ayakashi: Japanese Classic Horror,TV,Other,11.0,Finished Airing,2006-01-13,2006-03-24,23,R - 17+ (violence & profanity),7.38,25680,2269.0,2423,76218,281,winter,2006.0,"['Horror', 'Mystery', 'Supernatural']","['Adult Cast', 'Historical', 'Psychological']",[]
2389,Saber Marionette J,TV,Original,25.0,Finished Airing,1996-10-01,1997-03-25,25,PG-13 - Teens 13 or older,7.38,14375,2303.0,3817,33106,222,fall,1996.0,"['Action', 'Adventure', 'Comedy', 'Drama', 'Romance', 'Sci-Fi']","['Harem', 'Martial Arts', 'Mecha']",[]
2390,Waga Seishun no Arcadia: Mugen Kidou SSX,TV,Unknown,22.0,Finished Airing,1982-10-13,1983-03-30,25,PG-13 - Teens 13 or older,7.38,2472,2303.0,7147,7385,38,fall,1982.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Space'],[]
2391,Kemono Jihen,TV,Manga,12.0,Finished Airing,2021-01-10,2021-03-28,23,R - 17+ (violence & profanity),7.38,166730,2280.0,624,370668,2232,winter,2021.0,"['Action', 'Fantasy', 'Mystery']",['Mythology'],['Shounen']
2392,Taiho Shichau zo: Second Season,TV,Manga,26.0,Finished Airing,2001-04-07,2001-09-29,24,PG-13 - Teens 13 or older,7.38,4201,2300.0,6032,11181,12,spring,2001.0,"['Action', 'Comedy']","['Adult Cast', 'Detective', 'Workplace']",['Seinen']
2393,Plawres Sanshirou,TV,Manga,37.0,Finished Airing,1983-06-05,1984-02-26,25,PG-13 - Teens 13 or older,7.38,1300,2288.0,9049,3955,23,summer,1983.0,"['Action', 'Adventure', 'Sci-Fi']","['Mecha', 'School']",['Shounen']
2394,Yuuki Yuuna wa Yuusha de Aru,TV,Original,12.0,Finished Airing,2014-10-17,2014-12-26,24,PG-13 - Teens 13 or older,7.38,57048,2309.0,1488,153989,1419,fall,2014.0,"['Drama', 'Fantasy']",['Mahou Shoujo'],[]
2395,Super GALS! Kotobuki Ran,TV,Manga,52.0,Finished Airing,2001-04-01,2002-03-31,24,PG-13 - Teens 13 or older,7.38,8146,2300.0,4587,22209,206,spring,2001.0,"['Comedy', 'Slice of Life']",[],['Shoujo']
2396,Yowamushi Pedal: Limit Break,TV,Manga,25.0,Finished Airing,2022-10-09,2023-03-26,24,PG-13 - Teens 13 or older,7.38,7881,2290.0,4368,24959,149,fall,2022.0,['Sports'],['Racing'],['Shounen']
2397,Scrapped Princess,TV,Light novel,24.0,Finished Airing,2003-04-08,2003-10-07,23,PG-13 - Teens 13 or older,7.38,38107,2292.0,2110,95600,429,spring,2003.0,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Sci-Fi']",['Mecha'],[]
2398,RahXephon,TV,Original,26.0,Finished Airing,2002-01-21,2002-09-11,23,PG-13 - Teens 13 or older,7.38,43173,2289.0,1812,118965,968,winter,2002.0,"['Action', 'Award Winning', 'Drama', 'Mystery', 'Romance', 'Sci-Fi']","['Mecha', 'Music', 'Psychological']",[]
2399,Sunabouzu,TV,Manga,24.0,Finished Airing,2004-10-06,2005-03-30,24,R - 17+ (violence & profanity),7.38,54915,2283.0,1615,139094,847,fall,2004.0,"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Ecchi']",[],['Seinen']
2400,Boku no Hero Academia 5th Season,TV,Manga,25.0,Finished Airing,2021-03-27,2021-09-25,23,PG-13 - Teens 13 or older,7.38,590090,2273.0,121,1166088,10161,spring,2021.0,['Action'],"['School', 'Super Power']",['Shounen']
2401,Minami-ke Natsuyasumi,OVA,Manga,1.0,Finished Airing,2013-08-06,,28,PG-13 - Teens 13 or older,7.37,8817,2320.0,4959,18602,5,,,"['Comedy', 'Slice of Life']",['CGDCT'],['Seinen']
2402,Kore wa Zombie desu ka? OVA,OVA,Light novel,2.0,Finished Airing,2011-06-10,2012-04-24,24,PG-13 - Teens 13 or older,7.37,73107,2314.0,1674,132310,77,,,"['Action', 'Comedy', 'Fantasy', 'Ecchi']","['Harem', 'Vampire']",[]
2403,Love Stage!!: Chotto ja Nakutte,OVA,Manga,1.0,Finished Airing,2014-11-22,,23,PG-13 - Teens 13 or older,7.37,34590,2315.0,2642,66413,83,,,"['Boys Love', 'Comedy']","['Adult Cast', 'Otaku Culture', 'Showbiz']",[]
2404,Huyao Xiao Hongniang: Qian Yan,ONA,Manga,15.0,Finished Airing,2017-02-24,2017-06-02,14,PG-13 - Teens 13 or older,7.37,2534,2345.0,7120,7453,10,,,"['Comedy', 'Romance', 'Supernatural']",['Historical'],[]
2405,Fairy Tail Movie 1: Houou no Miko,Movie,Manga,1.0,Finished Airing,2012-08-18,,86,PG-13 - Teens 13 or older,7.37,122140,2323.0,1107,216070,537,,,"['Action', 'Adventure', 'Fantasy']",[],['Shounen']
2406,Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,TV,Visual novel,11.0,Finished Airing,2016-07-14,2016-09-22,23,R - 17+ (violence & profanity),7.37,178486,2320.0,739,321639,2292,summer,2016.0,"['Action', 'Horror', 'Mystery', 'Suspense']","['High Stakes Game', 'Psychological', 'School', 'Survival']",[]
2407,Comic Girls,TV,4-koma manga,12.0,Finished Airing,2018-04-05,2018-06-21,23,PG-13 - Teens 13 or older,7.37,59707,2317.0,1572,142780,712,spring,2018.0,['Slice of Life'],"['CGDCT', 'Otaku Culture']",[]
2408,Senryuu Shoujo,TV,4-koma manga,12.0,Finished Airing,2019-04-06,2019-06-22,12,PG-13 - Teens 13 or older,7.37,79543,2350.0,1271,185497,466,spring,2019.0,['Comedy'],"['Romantic Subtext', 'School']",['Shounen']
2409,Saenai Heroine no Sodatekata ♭: Koi to Junjou no Service-kai,Special,Light novel,1.0,Finished Airing,2017-04-06,,22,PG-13 - Teens 13 or older,7.37,69081,2348.0,1740,125450,148,,,"['Comedy', 'Romance', 'Ecchi']","['Harem', 'School']",[]
2410,Kekkai Sensen: Ousama no Restaurant no Ousama,OVA,Manga,1.0,Finished Airing,2016-06-03,,24,R - 17+ (violence & profanity),7.37,19678,2335.0,3371,42405,28,,,"['Action', 'Comedy', 'Fantasy']",['Super Power'],['Shounen']
2411,Doraemon Movie 36: Shin Nobita no Nippon Tanjou,Movie,Manga,1.0,Finished Airing,2016-03-05,,104,PG - Children,7.37,3383,2322.0,7740,6029,1,,,"['Adventure', 'Comedy', 'Fantasy']",['Time Travel'],"['Kids', 'Shounen']"
2412,Soukyuu no Fafner: Dead Aggressor - The Beyond Part 4,Movie,Original,3.0,Finished Airing,2021-11-05,,24,PG-13 - Teens 13 or older,7.37,638,2313.0,9637,3243,10,,,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military']",[]
2413,Inu x Boku SS,TV,Manga,12.0,Finished Airing,2012-01-13,2012-03-30,24,PG-13 - Teens 13 or older,7.37,234978,2332.0,437,501797,3238,winter,2012.0,"['Comedy', 'Romance', 'Supernatural']",['Mythology'],['Shounen']
2414,Soukyuu no Fafner: Dead Aggressor - Heaven and Earth,Movie,Original,1.0,Finished Airing,2010-12-25,,90,PG-13 - Teens 13 or older,7.37,5538,2348.0,5414,14642,44,,,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military']",[]
2415,Hakata Tonkotsu Ramens,TV,Novel,12.0,Finished Airing,2018-01-12,2018-03-30,23,R - 17+ (violence & profanity),7.37,61830,2327.0,1480,155038,650,winter,2018.0,"['Action', 'Mystery']","['Adult Cast', 'Crossdressing', 'Detective', 'Organized Crime']",[]
2416,NG Knight Ramune & 40,TV,Original,38.0,Finished Airing,1990-04-06,1991-01-04,22,PG-13 - Teens 13 or older,7.37,1163,2345.0,9006,4015,29,spring,1990.0,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Mecha'],[]
2417,Oda Nobuna no Yabou,TV,Light novel,12.0,Finished Airing,2012-07-09,2012-09-24,24,PG-13 - Teens 13 or older,7.37,146381,2322.0,817,295103,1164,summer,2012.0,"['Action', 'Comedy', 'Romance']","['Harem', 'Historical', 'Military', 'Time Travel']",[]
2418,Meitantei Holmes,TV,Novel,26.0,Finished Airing,1984-11-06,1985-05-21,25,G - All Ages,7.37,4074,2341.0,5774,12449,80,fall,1984.0,"['Action', 'Adventure', 'Comedy', 'Mystery']","['Anthropomorphic', 'Detective']",[]
2419,Crayon Shin-chan Movie 05: Ankoku Tamatama Daitsuiseki,Movie,Manga,1.0,Finished Airing,1997-04-19,,99,G - All Ages,7.37,4423,2318.0,7150,7382,12,,,"['Action', 'Adventure', 'Comedy']",[],['Seinen']
2420,Mahou no Princess Minky Momo: Yume wo Dakishimete,TV,Original,62.0,Finished Airing,1991-10-02,1992-12-23,24,G - All Ages,7.37,1235,2339.0,9198,3756,25,fall,1991.0,[],['Mahou Shoujo'],[]
2421,Shakugan no Shana Movie,Movie,Light novel,1.0,Finished Airing,2007-04-21,,86,PG-13 - Teens 13 or older,7.37,30611,2328.0,2715,63255,55,,,"['Action', 'Fantasy', 'Romance']","['Mahou Shoujo', 'School']",[]
2422,Ginga Tetsudou no Yoru,Movie,Novel,1.0,Finished Airing,1985-07-13,,107,G - All Ages,7.37,9294,2326.0,4295,25998,372,,,"['Award Winning', 'Drama', 'Fantasy', 'Mystery']","['Anthropomorphic', 'Historical']",['Kids']
2423,Kidou Senshi Gundam SEED Destiny Final Plus: Erabareta Mirai,OVA,Original,1.0,Finished Airing,2005-12-25,,47,R - 17+ (violence & profanity),7.37,12681,2336.0,4468,23717,50,,,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military', 'Space']",[]
2424,Oruchuban Ebichu,TV,Manga,24.0,Finished Airing,1999-08-01,1999-10-01,8,R+ - Mild Nudity,7.37,20085,2347.0,2994,52807,361,summer,1999.0,"['Comedy', 'Ecchi']","['Anthropomorphic', 'Gag Humor']",['Seinen']
2425,Soukyuu no Fafner: Dead Aggressor - Exodus,TV,Original,13.0,Finished Airing,2015-01-09,2015-04-03,24,PG-13 - Teens 13 or older,7.37,7459,2310.0,4576,22372,78,winter,2015.0,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military']",[]
2426,Shin Getter Robo,OVA,Manga,13.0,Finished Airing,2004-04-09,2004-09-10,24,R - 17+ (violence & profanity),7.37,4300,2352.0,6143,10729,108,,,"['Action', 'Adventure', 'Horror', 'Sci-Fi']","['Mecha', 'Mythology']",['Shounen']
2427,Dakaretai Otoko 1-i ni Odosarete Imasu.,TV,Manga,13.0,Finished Airing,2018-10-06,2018-12-29,23,PG-13 - Teens 13 or older,7.37,78842,2333.0,1461,157235,1830,fall,2018.0,"['Boys Love', 'Comedy', 'Drama']","['Adult Cast', 'Showbiz']",[]
2428,Wushen Zhuzai,ONA,Novel,496.0,Currently Airing,2020-03-08,,8,PG-13 - Teens 13 or older,7.37,1423,2352.0,8119,5418,72,,,"['Action', 'Drama', 'Fantasy']","['Historical', 'Martial Arts']",[]
2429,Soukyuu no Fafner: Dead Aggressor - Right of Left,TV Special,Original,1.0,Finished Airing,2005-12-30,,51,PG-13 - Teens 13 or older,7.37,5749,2349.0,5311,15415,27,,,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military']",[]
2430,Doraemon,TV,Manga,26.0,Finished Airing,1973-04-01,1973-09-30,25,PG - Children,7.37,11191,2321.0,4755,20624,130,spring,1973.0,"['Adventure', 'Comedy', 'Fantasy']",['Anthropomorphic'],"['Kids', 'Shounen']"
2431,Kamichu!,TV,Original,12.0,Finished Airing,2005-06-29,2005-09-27,26,G - All Ages,7.37,18502,2333.0,2720,63043,275,summer,2005.0,"['Award Winning', 'Slice of Life', 'Supernatural']","['Iyashikei', 'Mythology', 'School']",[]
2432,KU-RU-KU-RU Cruller!,Music,Other,1.0,Finished Airing,2021-09-22,,7,PG-13 - Teens 13 or older,7.37,879,,11565,1726,10,,,[],"['Idols (Female)', 'Music']",[]
2433,Honoo no Toukyuuji: Dodge Danpei,TV,Manga,47.0,Finished Airing,1991-10-14,1992-09-21,25,PG - Children,7.37,2848,2329.0,8159,5345,33,fall,1991.0,"['Comedy', 'Sports']","['School', 'Team Sports']",['Kids']
2434,Meitantei Conan: Hiiro no Fuzai Shoumei,Movie,Manga,1.0,Finished Airing,2021-02-11,,94,PG-13 - Teens 13 or older,7.37,1925,2341.0,7379,6809,33,,,"['Action', 'Comedy', 'Drama', 'Mystery']",['Detective'],['Shounen']
2435,Kuraku Kuroku,Music,Original,1.0,Finished Airing,2021-01-20,,4,PG-13 - Teens 13 or older,7.37,734,,12341,1323,8,,,['Supernatural'],"['Music', 'Psychological']",[]
2436,Karas,OVA,Original,6.0,Finished Airing,2005-03-25,2007-10-26,30,R - 17+ (violence & profanity),7.37,28097,2333.0,2694,64070,319,,,"['Action', 'Fantasy', 'Sci-Fi']","['Gore', 'Super Power']",[]
2437,Yasashii Suisei,Music,Original,1.0,Finished Airing,2021-03-25,,3,R - 17+ (violence & profanity),7.37,1840,,9801,3074,7,,,[],['Music'],[]
2438,Futatsu no Spica,TV,Manga,20.0,Finished Airing,2003-11-01,2004-03-27,25,PG-13 - Teens 13 or older,7.37,3873,2325.0,6155,10665,67,fall,2003.0,"['Drama', 'Sci-Fi', 'Supernatural']",['School'],[]
2439,Freedom,OVA,Original,7.0,Finished Airing,2006-11-24,2008-05-23,28,PG-13 - Teens 13 or older,7.37,7775,2324.0,4420,24319,70,,,"['Action', 'Adventure', 'Sci-Fi']","['Racing', 'Space']",[]
2440,Hanhua Riji 3rd Season,ONA,Original,12.0,Finished Airing,2022-07-31,2022-10-09,13,PG-13 - Teens 13 or older,7.37,1033,2328.0,10025,2825,8,,,"['Comedy', 'Supernatural']",[],[]
2441,City Hunter: Ai to Shukumei no Magnum,Movie,Manga,1.0,Finished Airing,1989-06-17,,87,PG-13 - Teens 13 or older,7.37,3895,2316.0,6639,8834,8,,,"['Action', 'Comedy', 'Mystery']",[],['Shounen']
2442,Saiyuuki Reload Gunlock,TV,Manga,26.0,Finished Airing,2004-04-02,2004-09-24,24,PG-13 - Teens 13 or older,7.37,8661,2350.0,4471,23689,46,spring,2004.0,"['Action', 'Adventure', 'Comedy', 'Drama', 'Supernatural']",['Mythology'],['Josei']
2443,Saiyuuki Reload,TV,Manga,25.0,Finished Airing,2003-10-02,2004-03-25,23,PG-13 - Teens 13 or older,7.37,13606,2325.0,3702,35343,113,fall,2003.0,"['Action', 'Adventure', 'Comedy', 'Drama', 'Supernatural']",['Mythology'],['Josei']
2444,Touhou Niji Sousaku Doujin Anime: Musou Kakyou,OVA,Game,,Currently Airing,2008-12-29,,22,PG-13 - Teens 13 or older,7.37,12358,2313.0,3480,40027,330,,,['Fantasy'],['Vampire'],[]
2445,Mikakunin de Shinkoukei,TV,4-koma manga,12.0,Finished Airing,2014-01-09,2014-03-27,23,PG-13 - Teens 13 or older,7.37,182927,2343.0,579,393093,1219,winter,2014.0,"['Comedy', 'Romance', 'Supernatural']",['School'],[]
2446,Kiznaiver,TV,Original,12.0,Finished Airing,2016-04-09,2016-06-25,24,PG-13 - Teens 13 or older,7.37,357348,2337.0,262,738388,4984,spring,2016.0,"['Drama', 'Romance', 'Sci-Fi']",[],[]
2447,Gunsmith Cats,OVA,Manga,3.0,Finished Airing,1995-11-01,1996-09-01,29,PG-13 - Teens 13 or older,7.37,23612,2326.0,2884,56586,488,,,"['Action', 'Comedy']",['Detective'],['Seinen']
2448,Feng Ling Yu Xiu 2nd Season,ONA,Original,12.0,Finished Airing,2023-07-02,2023-09-10,25,PG-13 - Teens 13 or older,7.36,337,2383.0,11988,1490,26,,,"['Action', 'Adventure']",['Martial Arts'],[]
2449,Watashi no Oshi wa Akuyaku Reijou.,TV,Light novel,12.0,Finished Airing,2023-10-03,2023-12-19,24,PG-13 - Teens 13 or older,7.36,40457,2373.0,2140,93683,852,fall,2023.0,"['Comedy', 'Fantasy', 'Girls Love']","['Isekai', 'School']",[]
2450,Hi-DRIVERS!,Music,Original,1.0,Finished Airing,2022-11-05,,3,PG-13 - Teens 13 or older,7.36,1448,,7437,6671,86,,,[],"['Idols (Male)', 'Music']",[]
2451,Shiro Seijo to Kuro Bokushi,TV,4-koma manga,12.0,Finished Airing,2023-07-13,2023-09-28,23,PG-13 - Teens 13 or older,7.36,25071,2367.0,2523,71321,393,summer,2023.0,"['Fantasy', 'Romance']",[],['Shounen']
2452,Muttsuri Dosukebe Tsuyu Gibo Shimai no Honshitsu Minuite Sex Sanmai,OVA,Manga,2.0,Finished Airing,2018-06-01,2018-07-06,15,Rx - Hentai,7.36,7689,,5131,16911,181,,,['Hentai'],[],[]
2453,Victorian Maid Maria no Houshi,OVA,Original,1.0,Finished Airing,2015-04-24,,24,Rx - Hentai,7.36,6365,,5666,13134,192,,,['Hentai'],[],[]
2454,Fella Pure: Mitarashi-san Chi no Jijou The Animation,OVA,Manga,1.0,Finished Airing,2014-03-28,,29,Rx - Hentai,7.36,15254,,3933,31409,388,,,['Hentai'],[],[]
2455,Maki-chan to Now.,OVA,Visual novel,4.0,Finished Airing,2012-02-24,2014-12-26,30,Rx - Hentai,7.36,11732,,4093,28680,207,,,['Hentai'],[],[]
2456,Prison School: Mad Wax,OVA,Manga,1.0,Finished Airing,2016-03-04,,25,R+ - Mild Nudity,7.36,92645,2372.0,1477,155245,117,,,"['Comedy', 'Ecchi']","['Gag Humor', 'School']",['Seinen']
2457,Hakuouki,TV,Visual novel,12.0,Finished Airing,2010-04-04,2010-06-20,23,R - 17+ (violence & profanity),7.36,69680,2385.0,1379,168246,1940,spring,2010.0,"['Action', 'Drama', 'Supernatural']","['Historical', 'Samurai']",['Josei']
2458,Hiyoko no Basket Movie: Last Game 0401,ONA,Manga,1.0,Finished Airing,2017-04-01,,1,G - All Ages,7.36,5654,2390.0,6015,11258,42,,,"['Comedy', 'Sports']",['Parody'],[]
2459,Lilac,Music,Original,1.0,Finished Airing,2018-06-12,,5,PG-13 - Teens 13 or older,7.36,3088,,8355,5007,7,,,[],['Music'],[]
2460,Isekai Quartet 2,TV,Original,12.0,Finished Airing,2020-01-15,2020-04-01,11,PG-13 - Teens 13 or older,7.36,139572,2391.0,1024,233175,264,winter,2020.0,"['Comedy', 'Fantasy']","['Isekai', 'Parody']",[]
2461,Deca-Dence,TV,Original,12.0,Finished Airing,2020-07-08,2020-09-23,23,PG-13 - Teens 13 or older,7.36,134332,2380.0,794,299102,896,summer,2020.0,"['Action', 'Adventure', 'Sci-Fi']",[],[]
2462,Tales of Zestiria: Doushi no Yoake,TV Special,Game,1.0,Finished Airing,2014-12-30,,44,PG-13 - Teens 13 or older,7.36,20488,2369.0,3317,43467,57,,,['Fantasy'],[],[]
2463,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",TV,Light novel,13.0,Finished Airing,2020-07-04,2020-09-26,23,R - 17+ (violence & profanity),7.36,466310,2356.0,237,787859,6215,summer,2020.0,"['Action', 'Fantasy']","['Mythology', 'Reincarnation', 'School']",[]
2464,Micchiri Neko March,Music,Web manga,1.0,Finished Airing,2013-04-02,,3,G - All Ages,7.36,1716,,10109,2754,15,,,[],['Music'],[]
2465,Hataraku Saibou!!,TV,Manga,8.0,Finished Airing,2021-01-09,2021-02-27,23,PG-13 - Teens 13 or older,7.36,94940,2387.0,890,269614,585,winter,2021.0,['Comedy'],"['Anthropomorphic', 'Educational', 'Medical']",['Shounen']
2466,"Hataraku Saibou!! Saikyou no Teki, Futatabi. Karada no Naka wa ""Chou"" Oosawagi!",Movie,Manga,1.0,Finished Airing,2020-09-05,,115,PG-13 - Teens 13 or older,7.36,2780,2388.0,4353,25114,12,,,"['Action', 'Comedy']","['Educational', 'Medical']",['Shounen']
2467,Bokutachi wa Benkyou ga Dekinai! Chapel no Kane wa [X] wo Shukufuku Suru,OVA,Manga,1.0,Finished Airing,2020-04-03,,23,PG-13 - Teens 13 or older,7.36,21007,2378.0,3386,42064,39,,,"['Comedy', 'Romance']",['Harem'],['Shounen']
2468,Hanhua Riji 2nd Season,ONA,Original,12.0,Finished Airing,2020-11-15,2021-01-24,14,PG-13 - Teens 13 or older,7.36,1286,2386.0,10014,2835,8,,,"['Comedy', 'Slice of Life', 'Supernatural']",[],[]
2469,High School DxD BorN: Ishibumi Ichiei Kanzen Kanshuu! Mousou Bakuyou Kaijo Original Video,Special,Light novel,6.0,Finished Airing,2015-07-24,2016-01-27,3,R+ - Mild Nudity,7.36,49269,2389.0,2150,93125,165,,,"['Comedy', 'Ecchi']",[],[]
2470,Kimagure Orange☆Road OVA,OVA,Manga,8.0,Finished Airing,1989-03-01,1991-01-18,26,R - 17+ (violence & profanity),7.36,3642,2365.0,6850,8260,18,,,"['Comedy', 'Drama', 'Romance']",['School'],['Shounen']
2471,Shigurui,TV,Manga,12.0,Finished Airing,2007-07-19,2007-10-11,23,R+ - Mild Nudity,7.36,37164,2375.0,1764,123366,921,summer,2007.0,"['Action', 'Drama']","['Adult Cast', 'Gore', 'Historical', 'Martial Arts', 'Psychological', 'Samurai']",['Seinen']
2472,Yowamushi Pedal: Re:Ride,Movie,Manga,1.0,Finished Airing,2014-09-19,,88,PG-13 - Teens 13 or older,7.36,4730,2360.0,5745,12580,10,,,['Sports'],['Racing'],['Shounen']
2473,"Shin Kimagure Orange☆Road: Soshite, Ano Natsu no Hajimari",Movie,Manga,1.0,Finished Airing,1996-11-02,,95,R - 17+ (violence & profanity),7.36,3905,2367.0,6608,8961,26,,,"['Comedy', 'Drama', 'Fantasy', 'Romance', 'Slice of Life', 'Ecchi']",[],['Shounen']
2474,Nisekoi OVA,OVA,Manga,3.0,Finished Airing,2014-10-03,2015-04-03,26,PG-13 - Teens 13 or older,7.36,91690,2370.0,1402,165391,136,,,"['Comedy', 'Romance']","['Harem', 'School']",['Shounen']
2475,Chiisana Penguin Lolo no Bouken,OVA,Original,3.0,Finished Airing,1986-01-01,1987-01-01,30,G - All Ages,7.36,1838,2379.0,9493,3403,13,,,"['Adventure', 'Drama', 'Fantasy', 'Slice of Life']",[],['Kids']
2476,Sora no Otoshimono: Project Pink,OVA,Manga,1.0,Finished Airing,2010-09-09,,23,PG-13 - Teens 13 or older,7.36,59884,2368.0,1937,108818,156,,,"['Comedy', 'Fantasy', 'Sci-Fi', 'Ecchi']",['Harem'],['Shounen']
2477,Afro Samurai,TV,Manga,5.0,Finished Airing,2007-05-03,2007-05-04,27,R+ - Mild Nudity,7.36,200804,2377.0,621,373661,1915,spring,2007.0,"['Action', 'Adventure']","['Gore', 'Samurai']",[]
2478,Miracle☆Girls,TV,Manga,51.0,Finished Airing,1993-01-08,1993-12-24,24,G - All Ages,7.36,1552,2358.0,8077,5476,14,winter,1993.0,"['Fantasy', 'Romance']",[],['Shoujo']
2479,Zoids,TV,Other,67.0,Finished Airing,1999-09-04,2000-12-23,25,PG-13 - Teens 13 or older,7.36,25927,2362.0,3073,49957,276,fall,1999.0,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",['Mecha'],[]
2480,Kidou Senshi Gundam SEED: SEED Supernova - Tanekyara Gekijou,Special,Original,4.0,Finished Airing,2007-06-22,,4,PG-13 - Teens 13 or older,7.36,3647,2355.0,6840,8291,10,,,['Comedy'],['Parody'],[]
2481,Doraemon Movie 25: Nobita no Wan Nyan Jikuuden,Movie,Unknown,1.0,Finished Airing,2004-03-06,,80,PG - Children,7.36,5283,2381.0,6776,8403,8,,,"['Adventure', 'Comedy', 'Sci-Fi']",[],['Kids']
2482,Nurse Angel Ririka SOS,TV,Manga,35.0,Finished Airing,1995-07-07,1996-03-29,24,PG - Children,7.36,1240,2361.0,8423,4918,41,summer,1995.0,"['Drama', 'Fantasy']",[],['Shoujo']
2483,Flanders no Inu,TV,Novel,52.0,Finished Airing,1975-01-05,1975-12-28,26,G - All Ages,7.36,1896,2384.0,6993,7806,34,winter,1975.0,"['Drama', 'Slice of Life']","['Historical', 'Pets', 'Visual Arts']",[]
2484,Zhu Xian,ONA,Web novel,26.0,Finished Airing,2022-08-02,2023-01-17,20,PG-13 - Teens 13 or older,7.36,895,2375.0,9938,2922,30,,,"['Adventure', 'Fantasy']",['Historical'],[]
2485,Karakuri Zoushi Ayatsuri Sakon,TV,Manga,26.0,Finished Airing,1999-10-08,2000-03-31,25,R - 17+ (violence & profanity),7.36,3317,2354.0,5840,12098,59,fall,1999.0,"['Mystery', 'Suspense']",['Detective'],['Shounen']
2486,Tiger & Bunny Movie 1: The Beginning,Movie,Original,1.0,Finished Airing,2012-09-22,,92,PG-13 - Teens 13 or older,7.36,11213,2371.0,4300,25908,19,,,"['Action', 'Comedy', 'Mystery']","['Adult Cast', 'Super Power']",[]
2487,Dotto Koni-chan,TV,Original,26.0,Finished Airing,2000-11-26,2001-05-29,25,PG-13 - Teens 13 or older,7.36,1775,2382.0,8522,4755,21,fall,2000.0,['Comedy'],[],[]
2488,s.CRY.ed,TV,Original,26.0,Finished Airing,2001-07-04,2001-12-26,24,PG-13 - Teens 13 or older,7.36,38629,2365.0,2313,82794,678,summer,2001.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Super Power'],[]
2489,Naruto x UT,OVA,Manga,1.0,Finished Airing,2011-01-01,,6,PG-13 - Teens 13 or older,7.36,25649,2360.0,2998,52699,84,,,"['Action', 'Fantasy']",[],['Shounen']
2490,Ryman's Club,TV,Original,12.0,Finished Airing,2022-01-30,2022-04-17,23,PG-13 - Teens 13 or older,7.36,27340,2363.0,2435,75545,532,winter,2022.0,['Sports'],"['Adult Cast', 'Workplace']",[]
2491,Uchuu no Stellvia,TV,Original,26.0,Finished Airing,2003-04-03,2003-09-25,23,PG-13 - Teens 13 or older,7.36,9578,2372.0,4381,24793,123,spring,2003.0,"['Action', 'Romance', 'Sci-Fi']","['Mecha', 'Space']",[]
2492,Meitantei Conan OVA 06: Kieta Daiya wo Oe! Conan & Heiji VS Kid!,OVA,Manga,1.0,Finished Airing,2006-03-15,,23,PG-13 - Teens 13 or older,7.36,7961,2367.0,5219,16125,2,,,"['Comedy', 'Mystery']",['Detective'],['Shounen']
